time,latitude,longitude,mag
2011-03-11T21:42:00.060Z,37.255,142.302,5.2
2011-03-11T22:04:13.140Z,38.282,142.251,5.4
2011-03-11T22:18:39.210Z,36.634,141.641,5.0
2011-03-11T22:36:57.550Z,37.081,143.809,5.0
2011-03-11T22:42:59.200Z,37.609,143.811,5.1
2011-03-11T22:51:19.850Z,37.834,144.827,5.7
2011-03-11T22:54:27.530Z,36.486,142.311,5.4
2011-03-11T23:26:49.680Z,39.051,142.623,5.3
2011-03-11T23:40:11.420Z,37.064,143.524,5.0
2011-03-11T23:53:29.260Z,38.857,142.532,5.1
2011-03-11T23:58:03.430Z,38.397,143.525,5.3
2011-03-11T23:59:21.080Z,36.528,141.506,5.4
2011-03-12T00:21:24.420Z,36.555,143.595,5.0
2011-03-12T00:25:07.750Z,37.755,141.885,5.0
2011-03-12T00:39:38.040Z,37.207,142.499,5.0
2011-03-12T00:45:09.180Z,36.112,141.768,5.5
2011-03-12T01:03:58.700Z,37.821,141.392,5.0
2011-03-12T01:17:00.680Z,38.053,142.677,5.4
2011-03-12T01:25:01.270Z,36.339,141.665,5.0
2011-03-12T01:34:09.620Z,38.751,142.831,5.8
2011-03-12T01:35:29.930Z,39.16,142.941,5.3
2011-03-12T01:36:24.560Z,36.532,142.299,5.2
2011-03-12T01:43:19.860Z,36.331,141.555,5.1
2011-03-12T01:46:20.540Z,37.328,141.754,5.5
2011-03-12T01:47:15.400Z,37.594,142.648,6.5
2011-03-12T01:59:43.480Z,37.483,142.802,5.2
2011-03-12T02:34:05.040Z,36.667,141.431,5.2
2011-03-12T02:37:29.450Z,40.126,142.719,5.0
2011-03-12T02:43:10.090Z,39.099,142.304,5.0
2011-03-12T02:47:33.500Z,37.6,143.61,5.9
2011-03-12T02:51:47.470Z,37.722,144.22,5.0
2011-03-12T03:01:47.410Z,39.549,142.598,5.8
2011-03-12T03:11:57.760Z,35.952,141.344,5.9
2011-03-12T03:29:27.810Z,37.887,144.623,5.3
2011-03-12T03:34:43.920Z,35.222,140.953,5.3
2011-03-12T03:54:44.740Z,35.79,141.226,5.0
2011-03-12T04:06:10.220Z,38.865,141.779,5.2
2011-03-12T04:47:18.840Z,35.905,141.34,5.1
2011-03-12T04:52:57.130Z,40.082,143.202,5.7
2011-03-12T05:58:55.960Z,37.734,143.907,5.1
2011-03-12T06:00:25.280Z,36.367,141.73,5.1
2011-03-12T06:10:17.960Z,37.09,143.812,5.1
2011-03-12T06:10:45.030Z,38.494,143.796,5.4
2011-03-12T06:18:44.570Z,39.171,142.33,5.5
2011-03-12T06:35:59.960Z,39.597,143.452,5.0
2011-03-12T07:13:37.480Z,37.424,142.007,5.0
2011-03-12T07:18:55.000Z,39.001,144.675,5.1
2011-03-12T07:35:39.260Z,37.38,142.575,5.0
2011-03-12T07:36:58.940Z,36.888,141.563,5.1
2011-03-12T07:54:09.390Z,35.905,141.45,5.1
2011-03-12T08:52:47.840Z,37.178,143.624,5.0
2011-03-12T08:59:59.970Z,37.322,143.571,5.2
2011-03-12T09:18:53.520Z,37.094,143.466,5.2
2011-03-12T09:27:13.360Z,37.384,143.704,5.0
2011-03-12T09:40:44.550Z,38.859,142.811,5.2
2011-03-12T10:00:27.220Z,35.944,141.772,5.0
2011-03-12T10:20:21.180Z,37.151,143.469,5.3
2011-03-12T10:34:47.390Z,37.498,144.454,5.2
2011-03-12T10:39:12.510Z,36.699,141.763,5.0
2011-03-12T10:53:30.780Z,39.049,142.279,5.7
2011-03-12T11:45:59.990Z,35.743,141.681,5.3
2011-03-12T12:50:29.090Z,37.746,143.828,5.1
2011-03-12T12:53:52.100Z,37.734,143.506,5.9
2011-03-12T13:15:41.650Z,37.249,141.159,6.1
2011-03-12T13:23:53.220Z,36.204,141.935,5.2
2011-03-12T13:26:57.340Z,39.426,142.369,5.3
2011-03-12T13:57:12.670Z,36.342,141.797,5.2
2011-03-12T14:03:31.310Z,38.791,142.549,5.6
2011-03-12T14:35:01.120Z,35.776,141.662,5.4
2011-03-12T14:43:10.850Z,39.465,142.405,5.8
2011-03-12T16:22:09.780Z,37.911,144.752,5.1
2011-03-12T17:01:19.190Z,37.72,143.348,5.1
2011-03-12T17:11:05.910Z,37.999,143.943,5.2
2011-03-12T17:19:23.850Z,36.517,142.482,5.8
2011-03-12T19:11:57.050Z,37.713,142.608,5.3
2011-03-12T20:08:26.970Z,35.754,141.754,5.0
2011-03-12T20:09:56.270Z,36.747,143.993,5.1
2011-03-12T20:14:32.080Z,38.892,144.751,5.0
2011-03-12T21:38:35.680Z,37.861,144.234,5.0
2011-03-12T21:48:09.620Z,39.612,142.569,5.4
2011-03-12T21:58:18.870Z,39.03,142.31,5.4
2011-03-12T22:12:46.270Z,37.681,141.889,5.8
2011-03-12T22:31:27.320Z,39.175,142.27,5.3
2011-03-12T23:20:41.040Z,37.998,142.282,5.4
2011-03-12T23:24:48.780Z,38.047,141.72,6.1
2011-03-12T23:37:22.950Z,36.732,142.296,5.1
2011-03-12T23:40:48.800Z,36.624,141.661,5.2
2011-03-12T23:51:23.160Z,37.075,143.387,5.0
2011-03-12T23:53:42.240Z,37.681,143.381,5.0
2011-03-13T00:32:57.240Z,36.008,140.868,5.0
2011-03-13T00:43:17.970Z,38.038,142.712,5.0
2011-03-13T00:47:06.010Z,39.081,143.232,5.2
2011-03-13T01:26:04.250Z,35.723,141.637,6.1
2011-03-13T01:31:29.050Z,37.511,143.84,5.1
2011-03-13T01:42:51.200Z,36.907,142.903,5.2
2011-03-13T02:23:34.520Z,36.344,142.344,5.8
2011-03-13T02:42:26.840Z,39.689,144.347,5.1
2011-03-13T02:48:17.600Z,36.851,142.595,5.1
2011-03-13T02:51:22.380Z,36.908,143.332,5.3
2011-03-13T02:53:23.340Z,39.471,143.266,5.1
2011-03-13T02:57:13.410Z,36.881,143.296,5.3
2011-03-13T04:12:56.710Z,35.668,141.724,5.0
2011-03-13T04:23:23.730Z,38.192,142.969,5.1
2011-03-13T04:36:13.350Z,35.208,140.973,5.1
2011-03-13T04:40:27.120Z,36.3,142.257,5.1
2011-03-13T07:04:38.310Z,38.326,144.019,5.3
2011-03-13T07:56:42.520Z,39.642,143.181,5.7
2011-03-13T08:43:24.980Z,37.174,142.4,5.0
2011-03-13T09:12:56.680Z,37.727,143.807,5.1
2011-03-13T09:25:07.970Z,39.02,142.441,5.1
2011-03-13T09:52:30.970Z,38.849,141.858,5.6
2011-03-13T11:37:30.420Z,37.348,142.394,5.7
2011-03-13T13:16:33.460Z,34.326,141.613,5.4
2011-03-13T14:31:57.140Z,39.167,142.729,5.2
2011-03-13T14:41:20.510Z,38.282,142.791,5.1
2011-03-13T14:48:01.360Z,37.767,142.783,5.4
2011-03-13T15:08:48.640Z,36.902,144.471,5.2
2011-03-13T15:10:52.460Z,35.468,140.834,5.2
2011-03-13T15:27:21.190Z,39.445,142.586,5.0
2011-03-13T17:01:30.180Z,35.132,141.149,5.1
2011-03-13T17:04:01.430Z,37.645,143.597,5.1
2011-03-13T17:40:30.060Z,37.933,142.595,5.0
2011-03-13T17:55:21.600Z,35.152,141.1,5.6
2011-03-13T19:59:50.090Z,36.921,141.906,5.2
2011-03-13T22:20:18.100Z,36.023,141.792,5.2
2011-03-13T22:26:04.670Z,35.933,141.861,5.0
2011-03-13T23:53:46.390Z,35.763,140.997,5.0
2011-03-14T00:22:47.090Z,36.905,141.771,5.0
2011-03-14T01:02:38.560Z,36.408,140.894,5.5
2011-03-14T01:57:55.000Z,36.641,142.4,5.1
2011-03-14T02:05:02.330Z,40.303,143.69,5.2
2011-03-14T03:15:50.490Z,36.278,142.079,5.4
2011-03-14T03:18:46.290Z,39.157,144.403,5.2
2011-03-14T03:20:41.720Z,36.642,141.721,5.2
2011-03-14T04:57:54.330Z,36.743,143.463,5.0
